image_id,category_id,area,bbox,iscrowd,bbox_id,x_min,y_min,x_max,y_max,w,h
0,1,257301.66,"[197.6, 193.7, 547.8, 469.7]",0,0,197.6,193.7,745.4,663.4,547.8,469.7
1,4,10402.56,"[0.0, 407.4, 57.6, 180.6]",0,1,0.0,407.4,57.6,588.0,57.6,180.6
1,8,26259.36,"[0.0, 455.6, 144.6, 181.6]",0,2,0.0,455.6,144.6,637.2,144.6,181.6
1,5,69096.17,"[722.3, 313.4, 274.3, 251.9]",0,3,722.3,313.4,996.5999999999999,565.3,274.3,251.9
1,6,24164.58,"[353.2, 671.0, 233.7, 103.4]",0,4,353.2,671.0,586.9,774.4,233.7,103.4
1,6,188324.4,"[3.7, 448.5, 778.2, 242.0]",0,5,3.7,448.5,781.9000000000001,690.5,778.2,242.0
1,1,38908.72,"[425.3, 681.9, 216.4, 179.8]",0,6,425.3,681.9,641.7,861.7,216.4,179.8
1,8,7391.52,"[92.4, 601.7, 139.2, 53.1]",0,7,92.4,601.7,231.6,654.8000000000001,139.2,53.1
1,1,6857.76,"[622.4, 686.5, 72.8, 94.2]",0,8,622.4,686.5,695.1999999999999,780.7,72.8,94.2
2,4,324010.8,"[267.9, 165.2, 631.6, 513.0]",0,9,267.9,165.2,899.5,678.2,631.6,513.0
3,3,59550.94,"[462.2, 369.4, 233.9, 254.6]",0,10,462.2,369.4,696.1,624.0,233.9,254.6
3,7,80710.56,"[773.3, 3.0, 188.4, 428.4]",0,11,773.3,3.0,961.6999999999999,431.4,188.4,428.4
4,2,14768.88,"[567.5, 462.2, 165.2, 89.4]",0,12,567.5,462.2,732.7,551.6,165.2,89.4
4,2,32987.78,"[859.4, 411.7, 164.2, 200.9]",0,13,859.4,411.7,1023.5999999999999,612.6,164.2,200.9
4,2,32747.0,"[362.0, 349.7, 130.0, 251.9]",0,14,362.0,349.7,492.0,601.6,130.0,251.9
4,2,54208.4,"[392.5, 348.4, 212.0, 255.7]",0,15,392.5,348.4,604.5,604.0999999999999,212.0,255.7
4,2,57900.45,"[482.2, 491.4, 277.7, 208.5]",0,16,482.2,491.4,759.9,699.9,277.7,208.5
4,1,4523.64,"[868.2, 521.7, 101.2, 44.7]",0,17,868.2,521.7,969.4000000000001,566.4000000000001,101.2,44.7
5,8,41210.0,"[0.0, 148.3, 317.0, 130.0]",0,18,0.0,148.3,317.0,278.3,317.0,130.0
5,1,12162.85,"[320.0, 233.7, 182.9, 66.5]",0,19,320.0,233.7,502.9,300.2,182.9,66.5
5,1,10264.35,"[297.7, 212.6, 166.9, 61.5]",0,20,297.7,212.6,464.6,274.1,166.9,61.5
5,1,747.25,"[329.8, 203.2, 42.7, 17.5]",0,21,329.8,203.2,372.5,220.7,42.7,17.5
5,6,3857.61,"[979.0, 173.0, 44.7, 86.3]",0,22,979.0,173.0,1023.7,259.3,44.7,86.3
5,6,12551.8,"[894.3, 425.4, 129.4, 97.0]",0,23,894.3,425.4,1023.6999999999999,522.4,129.4,97.0
5,8,8202.18,"[803.6, 282.4, 82.6, 99.3]",0,24,803.6,282.4,886.2,381.7,82.6,99.3
5,8,72245.76,"[489.7, 158.0, 441.6, 163.6]",0,25,489.7,158.0,931.3,321.6,441.6,163.6
5,8,17714.61,"[837.8, 263.6, 134.1, 132.1]",0,26,837.8,263.6,971.9,395.70000000000005,134.1,132.1
5,8,27124.88,"[799.8, 392.4, 163.6, 165.8]",0,27,799.8,392.4,963.4,558.2,163.6,165.8
5,8,73950.6,"[631.9, 237.2, 208.9, 354.0]",0,28,631.9,237.2,840.8,591.2,208.9,354.0
5,8,7963.68,"[948.5, 0.0, 75.2, 105.9]",0,29,948.5,0.0,1023.7,105.9,75.2,105.9
5,8,229774.6,"[55.5, 0.0, 961.4, 239.0]",0,30,55.5,0.0,1016.9,239.0,961.4,239.0
5,2,4798.99,"[68.1, 66.5, 125.3, 38.3]",0,31,68.1,66.5,193.39999999999998,104.8,125.3,38.3
5,2,16733.1,"[181.2, 70.3, 173.4, 96.5]",0,32,181.2,70.3,354.6,166.8,173.4,96.5
5,8,143643.78,"[0.0, 129.3, 333.9, 430.2]",0,33,0.0,129.3,333.9,559.5,333.9,430.2
5,2,283065.78,"[60.6, 271.2, 605.1, 467.8]",0,34,60.6,271.2,665.7,739.0,605.1,467.8
5,2,172289.5,"[104.6, 278.6, 543.5, 317.0]",0,35,104.6,278.6,648.1,595.6,543.5,317.0
5,1,3099.12,"[98.5, 612.3, 69.8, 44.4]",0,36,98.5,612.3,168.3,656.6999999999999,69.8,44.4
5,2,110969.7,"[495.7, 627.6, 345.7, 321.0]",0,37,495.7,627.6,841.4,948.6,345.7,321.0
5,6,3693.89,"[925.5, 97.3, 52.1, 70.9]",0,38,925.5,97.3,977.6,168.2,52.1,70.9
5,1,7761.0,"[471.4, 422.3, 130.0, 59.7]",0,39,471.4,422.3,601.4,482.0,130.0,59.7
6,2,222913.17,"[351.7, 269.9, 398.7, 559.1]",0,40,351.7,269.9,750.4,829.0,398.7,559.1
7,10,358485.73,"[109.0, 104.7, 751.7, 476.9]",0,41,109.0,104.7,860.7,581.6,751.7,476.9
7,10,391485.88,"[95.4, 438.7, 708.7, 552.4]",0,42,95.4,438.7,804.1,991.0999999999999,708.7,552.4
8,7,251634.04,"[51.8, 0.0, 635.6, 395.9]",0,43,51.8,0.0,687.4,395.9,635.6,395.9
8,1,5884.18,"[74.8, 258.0, 246.2, 23.9]",0,44,74.8,258.0,321.0,281.9,246.2,23.9
8,8,87462.75,"[170.3, 0.0, 415.5, 210.5]",0,45,170.3,0.0,585.8,210.5,415.5,210.5
8,8,67004.52,"[0.0, 161.8, 101.2, 662.1]",0,46,0.0,161.8,101.2,823.9000000000001,101.2,662.1
8,8,22753.44,"[86.0, 0.0, 183.2, 124.2]",0,47,86.0,0.0,269.2,124.2,183.2,124.2
8,8,40690.68,"[0.0, 0.0, 192.3, 211.6]",0,48,0.0,0.0,192.3,211.6,192.3,211.6
8,8,559347.65,"[44.4, 135.9, 745.3, 750.5]",0,49,44.4,135.9,789.6999999999999,886.4,745.3,750.5
9,3,168024.78,"[308.4, 281.3, 404.1, 415.8]",0,50,308.4,281.3,712.5,697.1,404.1,415.8
10,1,102452.04,"[377.9, 255.0, 368.4, 278.1]",0,51,377.9,255.0,746.3,533.1,368.4,278.1
11,1,13126.08,"[446.6, 445.2, 96.8, 135.6]",0,52,446.6,445.2,543.4,580.8,96.8,135.6
12,2,396229.4,"[146.0, 441.9, 775.4, 511.0]",0,53,146.0,441.9,921.4,952.9,775.4,511.0
12,2,53411.04,"[274.8, 540.1, 383.7, 139.2]",0,54,274.8,540.1,658.5,679.3,383.7,139.2
12,2,94348.24,"[276.3, 334.6, 356.3, 264.8]",0,55,276.3,334.6,632.6,599.4000000000001,356.3,264.8
13,7,16522.19,"[99.9, 58.9, 139.9, 118.1]",0,56,99.9,58.9,239.8,177.0,139.9,118.1
13,8,56487.12,"[746.7, 167.6, 223.8, 252.4]",0,57,746.7,167.6,970.5,420.0,223.8,252.4
13,8,17687.12,"[0.0, 0.0, 111.1, 159.2]",0,58,0.0,0.0,111.1,159.2,111.1,159.2
13,7,14725.8,"[59.3, 0.0, 181.8, 81.0]",0,59,59.3,0.0,241.10000000000002,81.0,181.8,81.0
13,8,86417.16,"[629.2, 24.9, 341.3, 253.2]",0,60,629.2,24.9,970.5,278.09999999999997,341.3,253.2
13,2,13110.51,"[0.0, 159.5, 104.3, 125.7]",0,61,0.0,159.5,104.3,285.2,104.3,125.7
13,2,105259.7,"[0.0, 473.4, 301.0, 349.7]",0,62,0.0,473.4,301.0,823.0999999999999,301.0,349.7
13,2,60018.75,"[0.0, 266.9, 247.5, 242.5]",0,63,0.0,266.9,247.5,509.4,247.5,242.5
13,8,602870.0,"[72.5, 112.0, 835.0, 722.0]",0,64,72.5,112.0,907.5,834.0,835.0,722.0
13,2,2338.92,"[485.2, 173.2, 65.7, 35.6]",0,65,485.2,173.2,550.9,208.79999999999998,65.7,35.6
13,4,22196.76,"[325.1, 457.7, 169.7, 130.8]",0,66,325.1,457.7,494.8,588.5,169.7,130.8
13,6,62352.12,"[484.6, 145.8, 226.9, 274.8]",0,67,484.6,145.8,711.5,420.6,226.9,274.8
13,6,47748.0,"[572.6, 538.9, 276.0, 173.0]",0,68,572.6,538.9,848.6,711.9,276.0,173.0
13,6,35448.7,"[136.1, 355.0, 311.5, 113.8]",0,69,136.1,355.0,447.6,468.8,311.5,113.8
13,6,68433.5,"[459.2, 335.2, 329.8, 207.5]",0,70,459.2,335.2,789.0,542.7,329.8,207.5
13,6,40667.06,"[611.2, 450.0, 244.1, 166.6]",0,71,611.2,450.0,855.3000000000001,616.6,244.1,166.6
14,10,186197.9,"[586.4, 194.4, 288.5, 645.4]",0,72,586.4,194.4,874.9,839.8,288.5,645.4
14,10,197977.44,"[158.5, 260.7, 332.4, 595.6]",0,73,158.5,260.7,490.9,856.3,332.4,595.6
14,8,57957.5,"[118.9, 0.0, 239.0, 242.5]",0,74,118.9,0.0,357.9,242.5,239.0,242.5
14,10,40297.99,"[175.7, 97.9, 171.7, 234.7]",0,75,175.7,97.9,347.4,332.6,171.7,234.7
14,4,5270.52,"[909.2, 929.9, 66.8, 78.9]",0,76,909.2,929.9,976.0,1008.8,66.8,78.9
15,7,4887.96,"[844.2, 499.5, 48.3, 101.2]",0,77,844.2,499.5,892.5,600.7,48.3,101.2
15,4,138850.34,"[423.9, 390.4, 424.1, 327.4]",0,78,423.9,390.4,848.0,717.8,424.1,327.4
15,7,5897.64,"[885.6, 577.0, 71.4, 82.6]",0,79,885.6,577.0,957.0,659.6,71.4,82.6
16,7,348151.91,"[306.8, 178.8, 569.9, 610.9]",0,80,306.8,178.8,876.7,789.7,569.9,610.9
17,1,305691.87,"[238.5, 273.7, 502.7, 608.1]",0,81,238.5,273.7,741.2,881.8,502.7,608.1
18,7,35072.1,"[321.7, 504.4, 556.7, 63.0]",0,82,321.7,504.4,878.4000000000001,567.4,556.7,63.0
18,7,44261.98,"[341.7, 471.1, 541.1, 81.8]",0,83,341.7,471.1,882.8,552.9,541.1,81.8
18,7,113387.5,"[320.0, 348.4, 587.5, 193.0]",0,84,320.0,348.4,907.5,541.4,587.5,193.0
18,7,68328.14,"[368.8, 231.6, 422.3, 161.8]",0,85,368.8,231.6,791.1,393.4,422.3,161.8
18,8,102801.65,"[309.5, 474.7, 350.5, 293.3]",0,86,309.5,474.7,660.0,768.0,350.5,293.3
18,7,51485.06,"[370.5, 166.6, 429.4, 119.9]",0,87,370.5,166.6,799.9,286.5,429.4,119.9
18,8,186956.7,"[0.0, 511.0, 490.7, 381.0]",0,88,0.0,511.0,490.7,892.0,490.7,381.0
18,7,253722.28,"[440.6, 529.5, 513.4, 494.2]",0,89,440.6,529.5,954.0,1023.7,513.4,494.2
18,8,80656.14,"[361.7, 257.0, 305.4, 264.1]",0,90,361.7,257.0,667.0999999999999,521.1,305.4,264.1
18,8,47459.16,"[447.0, 65.8, 305.4, 155.4]",0,91,447.0,65.8,752.4,221.2,305.4,155.4
