image_id,category_id,area,bbox,iscrowd,id,x_min,x_center,x_max,y_min,y_center,y_max,w,h,bbox_count,object_count,stratify_group,fold
0,0,257301.66,"[197.6, 193.7, 547.8, 469.7]",0,0,197.6,471.5,745.4,193.7,428.55,663.4,547.8,469.7,1,1,1_0,2
1,3,10402.56,"[0.0, 407.4, 57.6, 180.6]",0,1,0.0,28.8,57.6,407.4,497.7,588.0,57.6,180.6,8,5,5_0,2
1,7,26259.36,"[0.0, 455.6, 144.6, 181.6]",0,2,0.0,72.3,144.6,455.6,546.4,637.2,144.6,181.6,8,5,5_0,2
1,4,69096.17,"[722.3, 313.4, 274.3, 251.9]",0,3,722.3,859.4499999999999,996.6,313.4,439.35,565.3,274.3,251.9,8,5,5_0,2
1,5,24164.58,"[353.2, 671.0, 233.7, 103.4]",0,4,353.2,470.05,586.9,671.0,722.7,774.4,233.7,103.4,8,5,5_0,2
1,5,188324.4,"[3.7, 448.5, 778.2, 242.0]",0,5,3.7,392.8,781.9000000000001,448.5,569.5,690.5,778.2,242.0,8,5,5_0,2
1,0,38908.72,"[425.3, 681.9, 216.4, 179.8]",0,6,425.3,533.5,641.7,681.9,771.8,861.7,216.4,179.8,8,5,5_0,2
1,7,7391.52,"[92.4, 601.7, 139.2, 53.1]",0,7,92.4,162.0,231.6,601.7,628.25,654.8000000000001,139.2,53.1,8,5,5_0,2
1,0,6857.76,"[622.4, 686.5, 72.8, 94.2]",0,8,622.4,658.8,695.1999999999999,686.5,733.6,780.7,72.8,94.2,8,5,5_0,2
2,3,324010.8,"[267.9, 165.2, 631.6, 513.0]",0,9,267.9,583.7,899.5,165.2,421.7,678.2,631.6,513.0,1,1,1_0,1
3,2,59550.94,"[462.2, 369.4, 233.9, 254.6]",0,10,462.2,579.15,696.1,369.4,496.7,624.0,233.9,254.6,2,2,2_0,4
3,6,80710.56,"[773.3, 3.0, 188.4, 428.4]",0,11,773.3,867.5,961.7,3.0,217.2,431.4,188.4,428.4,2,2,2_0,4
4,1,14768.88,"[567.5, 462.2, 165.2, 89.4]",0,12,567.5,650.1,732.7,462.2,506.9,551.6,165.2,89.4,6,2,2_0,1
4,1,32987.78,"[859.4, 411.7, 164.2, 200.9]",0,13,859.4,941.5,1023.6,411.7,512.15,612.6,164.2,200.9,6,2,2_0,1
4,1,32747.0,"[362.0, 349.7, 130.0, 251.9]",0,14,362.0,427.0,492.0,349.7,475.65,601.6,130.0,251.9,6,2,2_0,1
4,1,54208.4,"[392.5, 348.4, 212.0, 255.7]",0,15,392.5,498.5,604.5,348.4,476.25,604.0999999999999,212.0,255.7,6,2,2_0,1
4,1,57900.45,"[482.2, 491.4, 277.7, 208.5]",0,16,482.2,621.05,759.9,491.4,595.65,699.9,277.7,208.5,6,2,2_0,1
4,0,4523.64,"[868.2, 521.7, 101.2, 44.7]",0,17,868.2,918.8,969.4,521.7,544.0500000000001,566.4000000000001,101.2,44.7,6,2,2_0,1
5,7,41210.0,"[0.0, 148.3, 317.0, 130.0]",0,18,0.0,158.5,317.0,148.3,213.3,278.3,317.0,130.0,22,4,4_2,4
5,0,12162.85,"[320.0, 233.7, 182.9, 66.5]",0,19,320.0,411.45,502.9,233.7,266.95,300.2,182.9,66.5,22,4,4_2,4
5,0,10264.35,"[297.7, 212.6, 166.9, 61.5]",0,20,297.7,381.15,464.6,212.6,243.35,274.1,166.9,61.5,22,4,4_2,4
5,0,747.25,"[329.8, 203.2, 42.7, 17.5]",0,21,329.8,351.15000000000003,372.5,203.2,211.95,220.7,42.7,17.5,22,4,4_2,4
5,5,3857.61,"[979.0, 173.0, 44.7, 86.3]",0,22,979.0,1001.35,1023.7,173.0,216.15,259.3,44.7,86.3,22,4,4_2,4
5,5,12551.8,"[894.3, 425.4, 129.4, 97.0]",0,23,894.3,959.0,1023.7,425.4,473.9,522.4,129.4,97.0,22,4,4_2,4
5,7,8202.18,"[803.6, 282.4, 82.6, 99.3]",0,24,803.6,844.9,886.2,282.4,332.04999999999995,381.7,82.6,99.3,22,4,4_2,4
5,7,72245.76,"[489.7, 158.0, 441.6, 163.6]",0,25,489.7,710.5,931.3,158.0,239.8,321.6,441.6,163.6,22,4,4_2,4
5,7,17714.61,"[837.8, 263.6, 134.1, 132.1]",0,26,837.8,904.85,971.9,263.6,329.65000000000003,395.7000000000001,134.1,132.1,22,4,4_2,4
5,7,27124.88,"[799.8, 392.4, 163.6, 165.8]",0,27,799.8,881.5999999999999,963.4,392.4,475.3,558.2,163.6,165.8,22,4,4_2,4
5,7,73950.6,"[631.9, 237.2, 208.9, 354.0]",0,28,631.9,736.35,840.8,237.2,414.2,591.2,208.9,354.0,22,4,4_2,4
