image_id,file_name,width,height,id,category_id,is_crowd,area,xmin,ymin,w,h
0,train/0000.jpg,1024,1024,0,0,0,257301.66,197.6,193.7,547.8,469.7
1,train/0001.jpg,1024,1024,1,3,0,10402.56,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,2,7,0,26259.36,0.0,455.6,144.6,181.6
1,train/0001.jpg,1024,1024,3,4,0,69096.17,722.3,313.4,274.3,251.9
1,train/0001.jpg,1024,1024,4,5,0,24164.58,353.2,671.0,233.7,103.4
1,train/0001.jpg,1024,1024,5,5,0,188324.4,3.7,448.5,778.2,242.0
1,train/0001.jpg,1024,1024,6,0,0,38908.72,425.3,681.9,216.4,179.8
1,train/0001.jpg,1024,1024,7,7,0,7391.52,92.4,601.7,139.2,53.1
1,train/0001.jpg,1024,1024,8,0,0,6857.76,622.4,686.5,72.8,94.2
2,train/0002.jpg,1024,1024,9,3,0,324010.8,267.9,165.2,631.6,513.0
3,train/0003.jpg,1024,1024,10,2,0,59550.94,462.2,369.4,233.9,254.6
3,train/0003.jpg,1024,1024,11,6,0,80710.56,773.3,3.0,188.4,428.4
4,train/0004.jpg,1024,1024,12,1,0,14768.88,567.5,462.2,165.2,89.4
4,train/0004.jpg,1024,1024,13,1,0,32987.78,859.4,411.7,164.2,200.9
4,train/0004.jpg,1024,1024,14,1,0,32747.0,362.0,349.7,130.0,251.9
4,train/0004.jpg,1024,1024,15,1,0,54208.4,392.5,348.4,212.0,255.7
4,train/0004.jpg,1024,1024,16,1,0,57900.45,482.2,491.4,277.7,208.5
4,train/0004.jpg,1024,1024,17,0,0,4523.64,868.2,521.7,101.2,44.7
5,train/0005.jpg,1024,1024,18,7,0,41210.0,0.0,148.3,317.0,130.0
5,train/0005.jpg,1024,1024,19,0,0,12162.85,320.0,233.7,182.9,66.5
5,train/0005.jpg,1024,1024,20,0,0,10264.35,297.7,212.6,166.9,61.5
5,train/0005.jpg,1024,1024,21,0,0,747.25,329.8,203.2,42.7,17.5
5,train/0005.jpg,1024,1024,22,5,0,3857.61,979.0,173.0,44.7,86.3
5,train/0005.jpg,1024,1024,23,5,0,12551.8,894.3,425.4,129.4,97.0
5,train/0005.jpg,1024,1024,24,7,0,8202.18,803.6,282.4,82.6,99.3
5,train/0005.jpg,1024,1024,25,7,0,72245.76,489.7,158.0,441.6,163.6
5,train/0005.jpg,1024,1024,26,7,0,17714.61,837.8,263.6,134.1,132.1
5,train/0005.jpg,1024,1024,27,7,0,27124.88,799.8,392.4,163.6,165.8
5,train/0005.jpg,1024,1024,28,7,0,73950.6,631.9,237.2,208.9,354.0
5,train/0005.jpg,1024,1024,29,7,0,7963.68,948.5,0.0,75.2,105.9
5,train/0005.jpg,1024,1024,30,7,0,229774.6,55.5,0.0,961.4,239.0
5,train/0005.jpg,1024,1024,31,1,0,4798.99,68.1,66.5,125.3,38.3
5,train/0005.jpg,1024,1024,32,1,0,16733.1,181.2,70.3,173.4,96.5
5,train/0005.jpg,1024,1024,33,7,0,143643.78,0.0,129.3,333.9,430.2
5,train/0005.jpg,1024,1024,34,1,0,283065.78,60.6,271.2,605.1,467.8
5,train/0005.jpg,1024,1024,35,1,0,172289.5,104.6,278.6,543.5,317.0
5,train/0005.jpg,1024,1024,36,0,0,3099.12,98.5,612.3,69.8,44.4
