,file_name,width,height,id,category_id,is_crowd,area,xmin,ymin,w,h
0,train/0000.jpg,1024,1024,0,0,0,257301.66,197.6,193.7,547.8,469.7
1,train/0001.jpg,1024,1024,1,3,0,10402.56,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,2,7,0,26259.36,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,3,4,0,69096.17,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,4,5,0,24164.58,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,5,5,0,188324.4,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,6,0,0,38908.72,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,7,7,0,7391.52,0.0,407.4,57.6,180.6
1,train/0001.jpg,1024,1024,8,0,0,6857.76,0.0,407.4,57.6,180.6
2,train/0002.jpg,1024,1024,9,3,0,324010.8,0.0,455.6,144.6,181.6
3,train/0003.jpg,1024,1024,10,2,0,59550.94,722.3,313.4,274.3,251.9
3,train/0003.jpg,1024,1024,11,6,0,80710.56,722.3,313.4,274.3,251.9
4,train/0004.jpg,1024,1024,12,1,0,14768.88,353.2,671.0,233.7,103.4
4,train/0004.jpg,1024,1024,13,1,0,32987.78,353.2,671.0,233.7,103.4
4,train/0004.jpg,1024,1024,14,1,0,32747.0,353.2,671.0,233.7,103.4
4,train/0004.jpg,1024,1024,15,1,0,54208.4,353.2,671.0,233.7,103.4
4,train/0004.jpg,1024,1024,16,1,0,57900.45,353.2,671.0,233.7,103.4
4,train/0004.jpg,1024,1024,17,0,0,4523.64,353.2,671.0,233.7,103.4
5,train/0005.jpg,1024,1024,18,7,0,41210.0,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,19,0,0,12162.85,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,20,0,0,10264.35,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,21,0,0,747.25,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,22,5,0,3857.61,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,23,5,0,12551.8,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,24,7,0,8202.18,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,25,7,0,72245.76,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,26,7,0,17714.61,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,27,7,0,27124.88,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,28,7,0,73950.6,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,29,7,0,7963.68,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,30,7,0,229774.6,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,31,1,0,4798.99,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,32,1,0,16733.1,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,33,7,0,143643.78,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,34,1,0,283065.78,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,35,1,0,172289.5,3.7,448.5,778.2,242.0
5,train/0005.jpg,1024,1024,36,0,0,3099.12,3.7,448.5,778.2,242.0
